id,bill_no,cashier_id,cashier_name,subtotal,tax_amount,discount,total,cash_received,change_returned,payment_type,items_count,created_at,session_id,payment_method
04ad0223-f1bc-45ec-a709-10842d93abad,ZIC-20260805-0155,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,300.0,0.0,0.0,300.0,300.0,0.0,cash,20,2026-08-05T19:03:34.462536+00:00,9741e336-29ce-4d00-88a4-34d673460a2b,cash
e59833aa-816c-4f3a-8f64-450866ffcd5b,ZIC-20260805-0156,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,750.0,0.0,0.0,750.0,750.0,0.0,cash,60,2026-08-05T19:18:27.091136+00:00,9741e336-29ce-4d00-88a4-34d673460a2b,cash
759d8b30-f214-49c3-9226-aed8813ac5cc,ZIC-20260805-0157,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,50.0,0.0,0.0,50.0,50.0,0.0,cash,1,2026-08-05T19:38:43.616804+00:00,9741e336-29ce-4d00-88a4-34d673460a2b,cash
da52096d-1ded-4559-adcc-fba389377096,ZIC-20260805-0158,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,70.0,0.0,0.0,70.0,70.0,0.0,cash,1,2026-08-05T19:45:40.34207+00:00,9741e336-29ce-4d00-88a4-34d673460a2b,cash
2f3ba6f5-7a0c-4093-8ffa-a8e410b15393,ZIC-20260805-0159,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,500.0,0.0,0.0,500.0,500.0,0.0,cash,40,2026-08-05T20:01:17.240978+00:00,9741e336-29ce-4d00-88a4-34d673460a2b,cash
05a01182-b724-4cc9-9275-00f70f121f6c,ZIC-20260805-0160,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,30.0,0.0,0.0,30.0,30.0,0.0,cash,1,2026-08-05T20:21:17.379253+00:00,9741e336-29ce-4d00-88a4-34d673460a2b,cash
cdcb1d3e-1cd0-4212-8b66-17d25f13d573,ZIC-20260805-0161,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,100.0,0.0,0.0,100.0,100.0,0.0,easypasa,4,2026-08-05T20:45:33.970636+00:00,9741e336-29ce-4d00-88a4-34d673460a2b,cash
fc463b72-6a58-4e50-87e5-ff0080b5c96f,ZIC-20260805-0162,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,650.0,0.0,0.0,650.0,650.0,0.0,cash,6,2026-08-05T21:08:41.010188+00:00,9741e336-29ce-4d00-88a4-34d673460a2b,cash
802ce7a2-8e8c-43fa-a149-fd2a7ad60163,ZIC-20260805-0163,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,50.0,0.0,0.0,50.0,50.0,0.0,cash,3,2026-08-05T22:09:12.816937+00:00,9741e336-29ce-4d00-88a4-34d673460a2b,cash
1367b2de-2b38-47d7-b269-02907cb87940,ZIC-20260805-0164,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,30.0,0.0,0.0,30.0,30.0,0.0,cash,2,2026-08-05T22:26:25.263658+00:00,9741e336-29ce-4d00-88a4-34d673460a2b,cash
38897ace-fd4f-4ddd-8f41-3ad18bc4e8fb,ZIC-20260806-0001,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,40.0,0.0,0.0,40.0,40.0,0.0,cash,1,2026-08-06T01:02:07.62406+00:00,9741e336-29ce-4d00-88a4-34d673460a2b,cash
d2a18dea-1dc7-4d63-a1c2-f4d34ced75ef,ZIC-20260806-0002,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,50.0,0.0,0.0,50.0,50.0,0.0,cash,1,2026-08-06T01:28:51.076856+00:00,9741e336-29ce-4d00-88a4-34d673460a2b,cash
8093d270-caa7-46b9-9ada-7ffc6cca954b,ZIC-20260806-0003,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,400.0,0.0,0.0,400.0,1000.0,600.0,cash,6,2026-08-06T01:32:16.335564+00:00,9741e336-29ce-4d00-88a4-34d673460a2b,cash
d1c3b53b-dafd-45c4-a9ed-7d0646910a4d,ZIC-20260806-0004,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,340.0,0.0,0.0,340.0,340.0,0.0,cash,16,2026-08-06T02:11:34.810263+00:00,9741e336-29ce-4d00-88a4-34d673460a2b,cash
6424743d-8895-4232-ad95-cf90c0bce32c,ZIC-20260806-0005,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,50.0,0.0,0.0,50.0,50.0,0.0,cash,5,2026-08-06T02:11:49.653209+00:00,9741e336-29ce-4d00-88a4-34d673460a2b,cash
c1094400-ad30-4e51-a798-5dd61aa1e6bb,ZIC-20260806-0006,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,60.0,0.0,0.0,60.0,60.0,0.0,cash,2,2026-08-06T03:21:23.346806+00:00,e62824eb-ce73-4828-9b80-318033d3114a,cash
