id,product_id,unit_id,unit_name,qty_in_unit,qty_in_base,kind,ref_id,user_id,user_name,notes,created_at
3977615c-4aa9-4e0a-a77a-bc777bdcf287,30e73934-8b1f-4e5b-8a7e-459183ab89ff,bd464178-34a5-4c51-ab7a-fb38e14501f9,Box,1,-20,sale,04ad0223-f1bc-45ec-a709-10842d93abad,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,,2026-08-05T19:03:34.462536+00:00
4b399998-5899-4f63-92f9-de1ac4c2e888,296944b9-ea79-469c-8425-f11d6e4b7eed,e9169ce5-618b-4046-9957-a321013f7b75,box,3,-60,sale,e59833aa-816c-4f3a-8f64-450866ffcd5b,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,,2026-08-05T19:18:27.091136+00:00
9c77d32b-2ad8-407d-a678-1f7344434115,75501454-681d-4cba-b455-b3b313fbbb80,1cde4b9d-cc60-4a18-bc99-7555e62c3b49,Piece,1,-1,sale,759d8b30-f214-49c3-9226-aed8813ac5cc,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,,2026-08-05T19:38:43.616804+00:00
70dc2cc6-2d10-465f-9b65-2b4eb99a951a,90ffa419-8bc9-4c39-81e1-cffb74841141,3f782984-279e-4f0c-9120-822961a7584c,Piece,1,-1,sale,da52096d-1ded-4559-adcc-fba389377096,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,,2026-08-05T19:45:40.34207+00:00
3925cfa2-091a-4607-b473-352162364bc3,296944b9-ea79-469c-8425-f11d6e4b7eed,e9169ce5-618b-4046-9957-a321013f7b75,box,2,-40,sale,2f3ba6f5-7a0c-4093-8ffa-a8e410b15393,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,,2026-08-05T20:01:17.240978+00:00
29e8eb79-75a7-40b4-82f0-e1e6227c9b5b,5a5154d9-6994-4dee-9011-efd865af1c8f,ff8b0ab8-fd25-4bb6-aafb-a79e8e63a846,Piece,1,-1,sale,05a01182-b724-4cc9-9275-00f70f121f6c,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,,2026-08-05T20:21:17.379253+00:00
1e08822f-80a4-467b-81a5-3260897201d8,8f421553-10c3-4fa2-9e4d-51f5bbc06cbc,74737246-4041-42e1-b1a9-1a501d24fe22,Piece,1,-1,sale,cdcb1d3e-1cd0-4212-8b66-17d25f13d573,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,,2026-08-05T20:45:33.970636+00:00
270c46d8-88d7-473c-8fc1-950fd54884df,1f042fef-6374-4775-8e10-9b82fe226e1e,6cb624aa-3c40-4717-8ab8-a85c382b3f8a,Piece,1,-1,sale,cdcb1d3e-1cd0-4212-8b66-17d25f13d573,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,,2026-08-05T20:45:33.970636+00:00
66a4ad80-576a-46b1-8f33-4ffb1deeb5a6,8af4077d-37f1-441f-936d-9507cb56ca9d,7534df49-d891-461a-8b69-7d03cb9ce755,Piece,2,-2,sale,cdcb1d3e-1cd0-4212-8b66-17d25f13d573,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,,2026-08-05T20:45:33.970636+00:00
d47c974f-9142-409f-86bc-fbbb5d912467,7794b2d9-b07a-46be-8246-8961363365f9,e31daf12-8420-4114-a15b-e870707dde0f,Piece,1,-1,sale,fc463b72-6a58-4e50-87e5-ff0080b5c96f,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,,2026-08-05T21:08:41.010188+00:00
407ddca9-6ff5-4fec-b104-890e7cec1231,c5bad393-0791-4cdd-bba3-0b910aef38e0,f32b5fb2-72e8-451f-a4d1-22621e21a03d,Piece,4,-4,sale,fc463b72-6a58-4e50-87e5-ff0080b5c96f,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,,2026-08-05T21:08:41.010188+00:00
ea9907c5-e3d2-480b-941f-33ac091202e6,5d2a6a9b-0a59-4325-86a4-94ecfcde48ed,04ea203d-aa17-4568-a358-db86c6d89950,Piece,1,-1,sale,fc463b72-6a58-4e50-87e5-ff0080b5c96f,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,,2026-08-05T21:08:41.010188+00:00
ec887a2d-a163-4207-85b0-1a0aa92afbeb,8af4077d-37f1-441f-936d-9507cb56ca9d,7534df49-d891-461a-8b69-7d03cb9ce755,Piece,2,-2,sale,802ce7a2-8e8c-43fa-a149-fd2a7ad60163,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,,2026-08-05T22:09:12.816937+00:00
04a7c959-1f0b-467d-960d-1c5512f44c9a,8f421553-10c3-4fa2-9e4d-51f5bbc06cbc,74737246-4041-42e1-b1a9-1a501d24fe22,Piece,1,-1,sale,802ce7a2-8e8c-43fa-a149-fd2a7ad60163,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,,2026-08-05T22:09:12.816937+00:00
36bc4215-3df4-4e4c-916b-d3e7d862c960,296944b9-ea79-469c-8425-f11d6e4b7eed,a1bc6a6f-ad8f-468b-afac-44ec8574811d,Piece,2,-2,sale,1367b2de-2b38-47d7-b269-02907cb87940,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,,2026-08-05T22:26:25.263658+00:00
501881bb-a2e6-4908-977f-0110f5382306,975cf5aa-4ec6-4b0f-bd0b-a79640860da8,45baadf7-3c4f-430c-b19c-ed8a6e8538df,Piece,1,-1,sale,38897ace-fd4f-4ddd-8f41-3ad18bc4e8fb,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,,2026-08-06T01:02:07.62406+00:00
1a3d3a5a-a76a-4ce6-a7d4-87d9482ff7bf,e101e5a8-3410-4e60-af94-bbe948876ffd,1391b547-210a-4a66-a3ca-93d482b74abf,Piece,1,-1,sale,d2a18dea-1dc7-4d63-a1c2-f4d34ced75ef,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,,2026-08-06T01:28:51.076856+00:00
a006946c-856b-4cf9-b8ad-4e92f5b7e0f2,6eabb009-fbe6-4018-9f9e-90fbe3bdbd63,6e8a956c-f49c-4535-ad7c-0d0897468117,Piece,1,-1,sale,8093d270-caa7-46b9-9ada-7ffc6cca954b,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,,2026-08-06T01:32:16.335564+00:00
