id,supplier_id,amount,method,notes,payment_date,created_by,created_by_name,created_at,session_id
3fba2aa4-e186-47b3-878b-786dc4fc9dc3,b2aaebd7-5b93-4c24-9a8d-cdc8be9230ce,300,cash,,2026-08-06,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-06T05:04:01.629268+00:00,e62824eb-ce73-4828-9b80-318033d3114a
38ee88c7-c217-4ec8-b50b-0996e7466fbd,0351cf49-7d46-44dd-9769-cc93a797ce67,4020,cash,,2026-08-06,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-06T05:08:14.940636+00:00,e62824eb-ce73-4828-9b80-318033d3114a
be24936f-1e1a-4a8c-859c-6ed55857d477,3cb9a1e8-be84-4b91-a3bc-fb00f3a89059,5020,cash,,2026-08-06,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-06T05:44:42.016692+00:00,e62824eb-ce73-4828-9b80-318033d3114a
c94de755-1b7b-43b2-a647-7c42c5c272ef,74f140db-495c-415e-a29c-011a1e0018f2,1300,cash,,2026-08-06,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-06T07:33:50.189421+00:00,e62824eb-ce73-4828-9b80-318033d3114a
fa297792-00c7-426a-8bfa-57ba329d75a1,74f140db-495c-415e-a29c-011a1e0018f2,1500,cash,asad,2026-08-06,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-06T07:34:07.988341+00:00,e62824eb-ce73-4828-9b80-318033d3114a
bfeef35c-f0fc-4c8f-8425-b1c8a8c6f4c4,ce9aa13c-f310-4e11-a13f-19b266cbfbb8,2410,cash,,2026-08-06,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-06T10:58:31.768964+00:00,e62824eb-ce73-4828-9b80-318033d3114a
264908d9-ec91-475d-a6c8-efa4a0673d65,159dbccd-1bdf-48b5-ad88-65a39d2edac5,6150,cash,,2026-08-06,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-06T12:29:12.40958+00:00,e62824eb-ce73-4828-9b80-318033d3114a
9c3b3da4-79ea-483e-bf8c-9be62d404611,ce99fffb-8a05-45cd-b6a6-bf28ffae7a5b,5800,cash,,2026-08-06,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-06T12:30:06.229165+00:00,e62824eb-ce73-4828-9b80-318033d3114a
c29db868-294c-4bce-8c77-401ab2eddbb2,32f648b8-d4e9-40e6-ad09-c9aa511e4812,7910,cash,,2026-08-07,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-07T04:42:32.159112+00:00,45effc76-690f-4397-a1ad-dde2c4061ee6
c850e22c-7253-4e22-9653-1c2bff1bc7d9,b2aaebd7-5b93-4c24-9a8d-cdc8be9230ce,300,cash,,2026-08-07,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-07T04:47:14.527419+00:00,45effc76-690f-4397-a1ad-dde2c4061ee6
6ae7bb20-1edf-498d-8e52-503a77ace163,2a8498f5-e155-4bb7-907b-78166cadb8b6,1540,cash,,2026-08-07,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-07T09:13:24.699062+00:00,45effc76-690f-4397-a1ad-dde2c4061ee6
a8ad7ba2-7994-471f-bfd0-4e902f6d0c86,4810fc58-8051-4c6f-ac0e-10b2b9d1f012,1260,cash,,2026-08-07,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-07T10:40:37.563478+00:00,45effc76-690f-4397-a1ad-dde2c4061ee6
efeb97d1-5356-4f6d-842a-3206f9cf1cce,e8a50544-5f92-47d6-8fdf-41e85d3f1ffb,1000,cash,,2026-08-07,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-07T11:16:42.247859+00:00,45effc76-690f-4397-a1ad-dde2c4061ee6
aa0e51ef-074b-4455-ac35-20f55cfdc40d,b2aaebd7-5b93-4c24-9a8d-cdc8be9230ce,300,cash,,2026-08-08,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-08T06:07:18.418523+00:00,40783ae4-3f9a-4289-9ff2-d6da29b39ec0
99b929b1-1638-4a2d-b751-c83db594e859,361ff01b-6588-420a-98aa-9808df77b47f,2990,cash,,2026-08-08,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-08T06:58:16.028189+00:00,40783ae4-3f9a-4289-9ff2-d6da29b39ec0
7c8f0985-18f2-4e88-8fb7-ee24e93b8e01,8843aca5-b481-4e7b-97fa-d20a37bcc23d,3770,cash,,2026-08-08,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-08T07:24:23.871679+00:00,40783ae4-3f9a-4289-9ff2-d6da29b39ec0
aa75e728-6a78-453a-9571-d2af59692108,2378c921-6071-4628-9dbd-397597f6c8d3,2250,cash,,2026-08-08,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-08T07:54:08.03787+00:00,40783ae4-3f9a-4289-9ff2-d6da29b39ec0
6f3a2942-1c5b-4144-a22c-027a182d4b86,159dbccd-1bdf-48b5-ad88-65a39d2edac5,2080,cash,,2026-08-08,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-08T07:54:50.823818+00:00,40783ae4-3f9a-4289-9ff2-d6da29b39ec0
17a3be35-0b37-430b-8136-75b9238d5ec8,39d5e48b-8bf2-4834-be98-b71a8f4ab691,3300,cash,,2026-08-08,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-08T07:55:50.152143+00:00,40783ae4-3f9a-4289-9ff2-d6da29b39ec0
9768762b-b41e-4617-82c0-877cda15e471,37271187-2b67-4f43-bcf4-63330cf1e2fa,3250,cash,,2026-08-08,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-08T09:13:40.080566+00:00,40783ae4-3f9a-4289-9ff2-d6da29b39ec0
2c9e6421-0a19-4429-a62b-6623a8d008cc,ce9aa13c-f310-4e11-a13f-19b266cbfbb8,10170,cash,,2026-08-08,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-08T12:43:38.422739+00:00,40783ae4-3f9a-4289-9ff2-d6da29b39ec0
951374b5-ac77-4ce6-850d-2a4de8299cc5,56248eb7-9945-48b5-b965-e7130cc62b41,100,cash,,2026-08-09,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-09T04:47:15.679928+00:00,d1a9d265-720b-4de9-b90a-4d39a8b61d55
e44f65a7-5e27-4507-aa68-63183c938961,e8a50544-5f92-47d6-8fdf-41e85d3f1ffb,1000,cash,,2026-08-09,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-09T07:57:40.071931+00:00,d1a9d265-720b-4de9-b90a-4d39a8b61d55
f7fe0760-6231-4da8-9053-e13ef563673c,2e526ee5-46dc-4305-b5b0-f4bb45630e2c,13360,cash,,2026-08-09,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-09T07:58:35.87243+00:00,d1a9d265-720b-4de9-b90a-4d39a8b61d55
1d966b92-3e36-4b30-bf17-bba0fba8b634,5e337d73-747e-4dc9-95de-8654fe281fec,3160,cash,,2026-08-09,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-09T08:35:45.81723+00:00,d1a9d265-720b-4de9-b90a-4d39a8b61d55
df4e63af-bc57-4bfb-9a0d-e06118c2f5e1,4810fc58-8051-4c6f-ac0e-10b2b9d1f012,1260,cash,,2026-08-09,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-09T09:24:29.915508+00:00,d1a9d265-720b-4de9-b90a-4d39a8b61d55
73e8c66d-6454-42d9-bdc3-90aa8a0eb493,6ef63ff5-f288-4691-ac44-472ec8b15aa1,4990,cash,,2026-08-09,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-09T11:39:08.610233+00:00,d1a9d265-720b-4de9-b90a-4d39a8b61d55
e315e74f-c5aa-4a67-8bec-291e2930553c,0950681b-50ee-4b55-9a47-a790bcd3dfd9,7760,cash,,2026-08-09,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,2026-08-09T15:40:28.55539+00:00,378c0cf7-54f0-4fc9-ad6d-8e0ecf185bfb
a161312d-dc79-4bea-9a7c-d4b37085cf85,0950681b-50ee-4b55-9a47-a790bcd3dfd9,16000,easypaisa,,2026-08-09,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,2026-08-09T15:41:01.377588+00:00,378c0cf7-54f0-4fc9-ad6d-8e0ecf185bfb
