id,sale_id,product_id,product_name,barcode,qty,unit_price,purchase_price,subtotal,unit_id,unit_name,qty_in_unit
3e574de8-2a00-4498-a303-457bfc31c176,04ad0223-f1bc-45ec-a709-10842d93abad,30e73934-8b1f-4e5b-8a7e-459183ab89ff,BENSON & HEDGES,95010526,20,15.0,14.0,300.0,bd464178-34a5-4c51-ab7a-fb38e14501f9,Box,1
6a71dfed-0286-40fb-8b8a-2eff817a2072,e59833aa-816c-4f3a-8f64-450866ffcd5b,296944b9-ea79-469c-8425-f11d6e4b7eed,CAPSTAN RED,1230364618200,60,12.5,12.1,750.0,e9169ce5-618b-4046-9957-a321013f7b75,box,3
c8985b6b-7258-4fbd-804d-76835f0659b4,759d8b30-f214-49c3-9226-aed8813ac5cc,75501454-681d-4cba-b455-b3b313fbbb80,Revive lychee,8964002344468,1,50.0,41.0,50.0,1cde4b9d-cc60-4a18-bc99-7555e62c3b49,Piece,1
5d28a473-39d1-421e-92a5-409642d82a27,da52096d-1ded-4559-adcc-fba389377096,90ffa419-8bc9-4c39-81e1-cffb74841141,FIZUP,8964001179719,1,70.0,52.0,70.0,3f782984-279e-4f0c-9120-822961a7584c,Piece,1
c9ea71ea-593a-42f7-a619-e0ba209bc974,2f3ba6f5-7a0c-4093-8ffa-a8e410b15393,296944b9-ea79-469c-8425-f11d6e4b7eed,CAPSTAN RED,1230364618200,40,12.5,12.1,500.0,e9169ce5-618b-4046-9957-a321013f7b75,box,2
a919fbd7-88b6-4cc4-8706-366a3e3ace20,05a01182-b724-4cc9-9275-00f70f121f6c,5a5154d9-6994-4dee-9011-efd865af1c8f,GOLD LEAF,1232097295550,1,30.0,25.0,30.0,ff8b0ab8-fd25-4bb6-aafb-a79e8e63a846,Piece,1
ab169556-c12b-4b0c-945b-1030d9095cab,cdcb1d3e-1cd0-4212-8b66-17d25f13d573,1f042fef-6374-4775-8e10-9b82fe226e1e,SNAKERS MASALA,671866117456,1,50.0,45.01,50.0,6cb624aa-3c40-4717-8ab8-a85c382b3f8a,Piece,1
063b9dd3-53b2-4f0b-bd7f-d7bf74a588c3,cdcb1d3e-1cd0-4212-8b66-17d25f13d573,8f421553-10c3-4fa2-9e4d-51f5bbc06cbc,KURKURAY TM,8964002347278,1,40.0,36.9,40.0,74737246-4041-42e1-b1a9-1a501d24fe22,Piece,1
b33dfa24-7541-494d-b5c3-116ace460f31,cdcb1d3e-1cd0-4212-8b66-17d25f13d573,8af4077d-37f1-441f-936d-9507cb56ca9d,candy,1232784048698,2,5.0,3.5,10.0,7534df49-d891-461a-8b69-7d03cb9ce755,Piece,2
e5d762ba-4118-4cb6-b042-c05e0ca0550e,fc463b72-6a58-4e50-87e5-ff0080b5c96f,5d2a6a9b-0a59-4325-86a4-94ecfcde48ed,VELO POLOR MINT 5DOT,89601778,1,300.0,200.0,300.0,04ea203d-aa17-4568-a358-db86c6d89950,Piece,1
80e4977e-f4c8-4e32-aacc-565ad87cf951,fc463b72-6a58-4e50-87e5-ff0080b5c96f,7794b2d9-b07a-46be-8246-8961363365f9,Raniu,8964002997916,1,150.0,95.83,150.0,e31daf12-8420-4114-a15b-e870707dde0f,Piece,1
6933406c-f182-4f78-8554-3df641d60298,fc463b72-6a58-4e50-87e5-ff0080b5c96f,c5bad393-0791-4cdd-bba3-0b910aef38e0,CHILLIMILLI,8961103500991,4,50.0,45.0,200.0,f32b5fb2-72e8-451f-a4d1-22621e21a03d,Piece,4
6637f642-f508-4326-9db5-54cbbfade8bc,802ce7a2-8e8c-43fa-a149-fd2a7ad60163,8f421553-10c3-4fa2-9e4d-51f5bbc06cbc,KURKURAY TM,8964002347278,1,40.0,36.9,40.0,74737246-4041-42e1-b1a9-1a501d24fe22,Piece,1
73e4f8f0-79d2-426d-a244-214a144d4117,802ce7a2-8e8c-43fa-a149-fd2a7ad60163,8af4077d-37f1-441f-936d-9507cb56ca9d,candy,1232784048698,2,5.0,3.5,10.0,7534df49-d891-461a-8b69-7d03cb9ce755,Piece,2
a687f93c-4c22-4597-84d8-f6efd6904c4f,1367b2de-2b38-47d7-b269-02907cb87940,296944b9-ea79-469c-8425-f11d6e4b7eed,CAPSTAN RED,1230364618200,2,15.0,12.1,30.0,a1bc6a6f-ad8f-468b-afac-44ec8574811d,Piece,2
65482d9d-8b62-428e-a0f1-91a93d4ad4b6,38897ace-fd4f-4ddd-8f41-3ad18bc4e8fb,975cf5aa-4ec6-4b0f-bd0b-a79640860da8,CHOICE,9254120000254,1,40.0,22.5,40.0,45baadf7-3c4f-430c-b19c-ed8a6e8538df,Piece,1
89998d94-579f-429e-bb0c-5e7acafd0cec,d2a18dea-1dc7-4d63-a1c2-f4d34ced75ef,e101e5a8-3410-4e60-af94-bbe948876ffd,CANDY ORIGINAL,8961003679759,1,50.0,44.5,50.0,1391b547-210a-4a66-a3ca-93d482b74abf,Piece,1
71e0a771-cf36-40bf-b807-4c7335d3a51e,8093d270-caa7-46b9-9ada-7ffc6cca954b,382387eb-6272-4738-b2d5-3361fa6fc3ca,Potato Sticks,671866277501,2,50.0,46.25,100.0,bc63250f-fd30-4ca2-a788-3340c09f9c89,Piece,2
