id,user_id,user_name,opening_cash,closing_cash,cash_sales,expected_cash,difference,status,opened_at,closed_at,online_sales,cash_paid_out,expenses
e62824eb-ce73-4828-9b80-318033d3114a,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,8850,2300,20789.0,1939.0,361.0,closed,2026-08-06T02:40:43.31087+00:00,2026-08-06T14:55:27.928885+00:00,430.0,26500,1200
f81e6868-dde3-4686-9329-cde4da5bc824,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,2300,14500,12710.0,14500.0,0.0,closed,2026-08-06T14:55:58.001439+00:00,2026-08-07T03:21:19.364132+00:00,670.0,0,510
45effc76-690f-4397-a1ad-dde2c4061ee6,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,14500,10910,17056.0,10906.0,4.0,closed,2026-08-07T03:21:47.904928+00:00,2026-08-07T14:53:32.939395+00:00,1104.0,12010,8640
26b9316c-4fce-4ae1-aa93-6a1365bec50d,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,10910,13660,2980.0,13660.0,0.0,closed,2026-08-07T14:54:03.858947+00:00,2026-08-08T02:58:12.198142+00:00,750.0,0,230
40783ae4-3f9a-4289-9ff2-d6da29b39ec0,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,13660,6570,20880.0,6430.0,140.0,closed,2026-08-08T02:58:44.872286+00:00,2026-08-08T15:32:31.762545+00:00,175.0,28110,0
4571c8fa-6ccb-4c5b-9dc9-fd105c7109b5,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,6570,11710,10123.0,11693.0,17.0,closed,2026-08-08T15:33:06.800083+00:00,2026-08-09T02:56:29.367174+00:00,1715.0,0,5000
d1a9d265-720b-4de9-b90a-4d39a8b61d55,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,11710,7890,20044.5,7884.5,5.5,closed,2026-08-09T02:57:14.934263+00:00,2026-08-09T15:19:39.661475+00:00,1495.0,23870,0
378c0cf7-54f0-4fc9-ad6d-8e0ecf185bfb,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,7890,11500,11362.5,11492.5,7.5,closed,2026-08-09T15:20:06.026951+00:00,2026-08-10T04:06:19.664829+00:00,2500.0,7760,0
2c77dba6-84d4-4d77-876b-b539d5aebb1c,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,11500,4210,13690.0,4120.0,90.0,closed,2026-08-10T04:06:50.867287+00:00,2026-08-10T15:19:35.432535+00:00,80.0,20510,560
1eac2cd8-9143-470f-9174-536ba0534d2d,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,4210,8790,14002.5,8782.5,7.5,closed,2026-08-10T15:20:01.550006+00:00,2026-08-11T03:57:54.053343+00:00,1275.0,1100,8330
