id,entry_date,cash_junaid,cash_usama,cash_zahid,others,counter_cash,today_expenses_override,previous_expense_override,notes,created_by,created_by_name,created_at,updated_at,cash_by_person,counter_cash_by,cash_with_junaid
1f4d9c38-04e0-40a6-aa1f-81bc5104833e,2026-08-06,0,0,0,0,6920,,,,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,2026-08-06T18:57:08.870234+00:00,2026-08-06T18:57:08.870234+00:00,{},Cashier 1,0
cc363d0c-6dd6-46e3-8ecb-439692c01cb0,2026-08-08,0,0,0,0,7270,,,,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,2026-08-08T18:58:07.333457+00:00,2026-08-08T18:58:07.333457+00:00,{},Cashier 1,0
54c46932-f234-4525-938e-5e6330d9fcaa,2026-08-09,0,0,0,0,3190,,,,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,2026-08-09T18:57:09.981257+00:00,2026-08-09T18:57:09.981257+00:00,{},Cashier 1,0
bc5021b3-49a2-4f29-b7e1-732d997a61a7,2026-08-10,0,0,0,0,4240,,,,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,2026-08-10T18:55:42.866133+00:00,2026-08-10T18:55:42.866133+00:00,{},Cashier 1,0
616e4993-e353-4f95-802a-0b226db6adc3,2026-08-11,0,0,0,0,8540,,,,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,2026-08-11T19:13:35.290886+00:00,2026-08-11T19:13:35.290886+00:00,{},Cashier 1,0
1f4c353b-f693-4c11-a5be-6e0d61be042e,2026-08-12,0,0,0,0,2390,,,,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,2026-08-12T18:53:00.444991+00:00,2026-08-12T18:53:00.444991+00:00,{},Cashier 1,0
a7ed5c8d-11c4-4b2f-880c-f5bde0c031fe,2026-08-13,0,0,0,0,30810,,,,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,2026-08-13T18:56:43.689229+00:00,2026-08-13T18:56:43.689229+00:00,{},Cashier 1,0
05194a60-b7e3-4842-b340-3eb2e4fbccd8,2026-08-14,0,0,0,0,0,,,,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,2026-08-14T19:08:49.488528+00:00,2026-08-15T01:01:51.957808+00:00,{},Cashier 1,0
2d777011-b112-4eba-a9f1-4ce1c4ba39d8,2026-08-15,0,0,0,0,11940,,,,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,2026-08-15T18:56:31.271427+00:00,2026-08-15T18:56:31.271427+00:00,{},Cashier 1,0
fa44fe88-8fc5-46fd-97ce-d8578bbdd336,2026-08-16,0,0,0,0,5970,,,,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,2026-08-16T18:59:34.065653+00:00,2026-08-16T18:59:34.065653+00:00,{},Cashier 1,0
60669ce8-c7d8-454f-ab35-b2393b034709,2026-08-17,0,0,0,0,7390,,,,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,2026-08-17T19:28:21.588668+00:00,2026-08-17T19:28:21.588668+00:00,{},Cashier 1,0
633c4e3f-0006-49dc-af8e-ca68bf5c5d3a,2026-08-18,0,0,0,0,9100,,,,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,2026-08-18T01:19:45.381467+00:00,2026-08-18T19:26:00.410237+00:00,{},Cashier 1,0
837f8045-232e-4766-af32-9299d332e307,2026-08-19,0,0,0,0,8970,,,,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,2026-08-19T18:49:10.384165+00:00,2026-08-19T18:49:10.384165+00:00,{},Cashier 1,0
0e3d09da-7472-4275-98d9-6da11fa363fa,2026-08-20,0,0,0,0,3330,,,,f686d4d0-3678-467e-9535-3d5f1309c328,Cashier 1,2026-08-20T18:51:14.373716+00:00,2026-08-20T18:51:14.373716+00:00,{},Cashier 1,0
