id,product_id,unit_id,system_stock,physical_stock,difference,cost_price,cost_impact,notes,created_by,created_at,status,created_by_name,reviewed_by,reviewed_by_name,reviewed_at,review_notes,applied_at
a510c7a0-db04-4cc3-8214-5199b7aecb0d,bcbfb413-a2aa-4b4b-aa6e-51227d61ac74,a46a0498-3708-46b8-93a2-7e1719aaeac2,24,0,-24,130,-3120,L,62c5814c-09e6-4583-874d-c3660ce3283f,2026-08-06T05:47:01.373189+00:00,approved,Asad,a03a7f3d-dd1f-4bdf-89f3-feb9e7a0cf5c,Usama Abbasi,2026-08-09T12:59:21.701561+00:00,Batch approved,2026-08-09T12:59:21.701561+00:00
cb005042-98a6-412b-9a6f-053a4f685b6f,7b37c209-406d-41de-9343-0fae92902f40,7197978b-09a4-4b3f-ad57-936a8f9e4311,3,2,-1,130,-130,L,62c5814c-09e6-4583-874d-c3660ce3283f,2026-08-06T05:50:13.016879+00:00,approved,Asad,a03a7f3d-dd1f-4bdf-89f3-feb9e7a0cf5c,Usama Abbasi,2026-08-09T12:59:21.534414+00:00,Batch approved,2026-08-09T12:59:21.534414+00:00
730f73bf-1712-4000-bbab-a5007d97b07b,46fcc52a-54e1-47b8-bef1-78bb52b29da2,c8f6e100-57d8-4a27-b7e1-f22b1c116851,4,2,-2,111.67,-223.34,L,62c5814c-09e6-4583-874d-c3660ce3283f,2026-08-06T05:52:09.6013+00:00,approved,Asad,a03a7f3d-dd1f-4bdf-89f3-feb9e7a0cf5c,Usama Abbasi,2026-08-09T12:59:21.382247+00:00,Batch approved,2026-08-09T12:59:21.382247+00:00
7a33a542-d8b2-4b5e-8785-5d9f43494449,89f084ac-a196-47fb-8e25-4e4bd3160c50,24a9904c-bbbb-433e-b85c-bc70707d653c,38,5,-33,73,-2409,L,62c5814c-09e6-4583-874d-c3660ce3283f,2026-08-06T07:03:50.523683+00:00,approved,Asad,a03a7f3d-dd1f-4bdf-89f3-feb9e7a0cf5c,Usama Abbasi,2026-08-09T12:59:21.221217+00:00,Batch approved,2026-08-09T12:59:21.221217+00:00
0ed89d99-7159-4156-b652-78fc20120188,5e38679d-6413-4f2c-8dea-c53d50116951,54853cdb-84f4-4f9e-9880-ce52951e8721,26,0,-26,58.33,-1516.58,l,62c5814c-09e6-4583-874d-c3660ce3283f,2026-08-06T07:43:42.517998+00:00,approved,Asad,a03a7f3d-dd1f-4bdf-89f3-feb9e7a0cf5c,Usama Abbasi,2026-08-09T12:59:21.076788+00:00,Batch approved,2026-08-09T12:59:21.076788+00:00
0b35bbdb-af52-4b4d-a569-f641d23c469b,5e38679d-6413-4f2c-8dea-c53d50116951,54853cdb-84f4-4f9e-9880-ce52951e8721,26,0,-26,58.33,-1516.58,l,62c5814c-09e6-4583-874d-c3660ce3283f,2026-08-06T07:45:05.89091+00:00,approved,Asad,a03a7f3d-dd1f-4bdf-89f3-feb9e7a0cf5c,Usama Abbasi,2026-08-09T12:59:20.902058+00:00,Batch approved,2026-08-09T12:59:20.902058+00:00
32ed927c-7ba2-4534-a0b6-4cb2247fa0bc,986fdfa7-0d1f-4581-980f-f56c15fe2708,6922c626-8f0e-463a-aa49-2c8a8df73c59,2,0,-2,97,-194,l,62c5814c-09e6-4583-874d-c3660ce3283f,2026-08-06T11:17:01.042451+00:00,approved,Asad,a03a7f3d-dd1f-4bdf-89f3-feb9e7a0cf5c,Usama Abbasi,2026-08-09T12:59:20.749055+00:00,Batch approved,2026-08-09T12:59:20.749055+00:00
2d8f4f5b-fdf9-47ed-ba83-372c1b6deb42,826c0da6-b0aa-4c8a-a024-a17c10878f2f,fab81662-9567-4d14-93ef-507465b7294c,3,0,-3,87.7,-263.1,l,62c5814c-09e6-4583-874d-c3660ce3283f,2026-08-07T04:41:29.62355+00:00,approved,Asad,a03a7f3d-dd1f-4bdf-89f3-feb9e7a0cf5c,Usama Abbasi,2026-08-09T12:59:20.551549+00:00,Batch approved,2026-08-09T12:59:20.551549+00:00
d85d230a-a750-470d-8856-b49b2334fcc4,e72cc9fe-22b1-4ea0-b7ba-50b2a81ae9cc,19cf5be3-be93-483b-a1f4-a2bb5e331f51,18,0,-18,18.33,-329.93999999999994,l,62c5814c-09e6-4583-874d-c3660ce3283f,2026-08-07T09:18:08.25564+00:00,approved,Asad,a03a7f3d-dd1f-4bdf-89f3-feb9e7a0cf5c,Usama Abbasi,2026-08-09T12:59:20.410732+00:00,Batch approved,2026-08-09T12:59:20.410732+00:00
d62f7512-ddc5-430e-95f8-a083db71ff9b,9b8a64b3-0eff-49bd-a7e9-7ae1f4c6211f,b371a280-0cea-4bc1-87c8-4befe828f950,33,0,-33,12.5,-412.5,l,62c5814c-09e6-4583-874d-c3660ce3283f,2026-08-08T08:28:03.778171+00:00,approved,Asad,a03a7f3d-dd1f-4bdf-89f3-feb9e7a0cf5c,Usama Abbasi,2026-08-09T12:59:20.229851+00:00,Batch approved,2026-08-09T12:59:20.229851+00:00
25992f88-2cfc-421a-b71f-84d936c6261f,ebecba97-a5dc-432a-a675-b07992cfe188,4d75b869-1d20-4862-9c75-0c8a26f90c5d,39,0,-39,29,-1131,l,62c5814c-09e6-4583-874d-c3660ce3283f,2026-08-08T08:29:47.378583+00:00,approved,Asad,a03a7f3d-dd1f-4bdf-89f3-feb9e7a0cf5c,Usama Abbasi,2026-08-09T12:59:20.049426+00:00,Batch approved,2026-08-09T12:59:20.049426+00:00
9760124e-e948-40d1-b1ca-4801fa05a6b1,10ebe327-96fb-4e2c-9292-ee7ccf3b8127,ca63db85-6796-4904-8894-101cfc6813be,177,0,-177,8,-1416,l,62c5814c-09e6-4583-874d-c3660ce3283f,2026-08-10T05:48:45.707967+00:00,pending,Asad,,,,,
70d8a072-6448-46e8-8cea-aff3ecf8b3c0,b8a09231-1bf3-4dc3-b3d6-92a1fcd5f3b8,c4bf8736-e202-4b78-b05c-00f5bfa32213,2,0,-2,155,-310,l,62c5814c-09e6-4583-874d-c3660ce3283f,2026-08-10T06:26:02.44537+00:00,pending,Asad,,,,,
