id,supplier_id,bill_no,amount,description,purchase_date,created_by,created_by_name,created_at
cc3c4411-54cc-48fe-966a-c722451e92eb,b2aaebd7-5b93-4c24-9a8d-cdc8be9230ce,,300,,2026-08-06,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-06T05:03:55.185254+00:00
5537d932-52b3-4d0b-813e-a6e25b5a8ced,0351cf49-7d46-44dd-9769-cc93a797ce67,,4020,,2026-08-06,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-06T05:08:07.801148+00:00
81b64da7-d4e0-4bce-809c-28e5dc5c9cef,3cb9a1e8-be84-4b91-a3bc-fb00f3a89059,,5020,,2026-08-06,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-06T05:44:36.152859+00:00
1620d48e-4dd2-404c-bbac-35557d7c28c8,74f140db-495c-415e-a29c-011a1e0018f2,,2800,,2026-08-06,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-06T07:33:35.256358+00:00
e1ed55e9-d90b-4f68-9dac-62cc1018eb47,ce9aa13c-f310-4e11-a13f-19b266cbfbb8,,2410,,2026-08-06,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-06T10:58:26.155133+00:00
4d7043ad-6aec-4f9d-8a68-ee74701c893a,159dbccd-1bdf-48b5-ad88-65a39d2edac5,,6150,,2026-08-06,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-06T12:29:06.169583+00:00
0a3a36f2-df2e-4213-890d-51f2e717f592,ce99fffb-8a05-45cd-b6a6-bf28ffae7a5b,,5800,,2026-08-06,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-06T12:29:58.512284+00:00
45d11a7f-fd1b-4af5-a736-a3a34f2e14f8,32f648b8-d4e9-40e6-ad09-c9aa511e4812,,7910,,2026-08-07,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-07T04:42:25.430644+00:00
a7fc1d06-0f27-4180-9abf-ed16a64ce428,b2aaebd7-5b93-4c24-9a8d-cdc8be9230ce,,300,,2026-08-07,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-07T04:47:08.069236+00:00
0507aae7-e141-4889-8e86-282a791674fa,2a8498f5-e155-4bb7-907b-78166cadb8b6,,1540,,2026-08-07,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-07T09:13:17.874802+00:00
042e3c39-3dc7-402f-9108-23963ebf2577,4810fc58-8051-4c6f-ac0e-10b2b9d1f012,,1260,,2026-08-07,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-07T10:40:29.282275+00:00
5ac31a33-260c-4633-a3aa-c6f63f11b91e,b2aaebd7-5b93-4c24-9a8d-cdc8be9230ce,,300,,2026-08-08,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-08T06:07:12.736907+00:00
8bf583c4-189d-4896-93bc-4759bc5b9252,361ff01b-6588-420a-98aa-9808df77b47f,,2990,,2026-08-08,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-08T06:58:06.591424+00:00
369de10b-17b1-4926-87e6-18c31313bbed,8843aca5-b481-4e7b-97fa-d20a37bcc23d,,3770,,2026-08-08,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-08T07:24:16.252884+00:00
a38db06f-0b91-4bfd-8594-fadee36b05ea,2378c921-6071-4628-9dbd-397597f6c8d3,,2250,,2026-08-08,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-08T07:54:01.403603+00:00
3e604e07-77c7-4ac5-a39f-a39488938af9,159dbccd-1bdf-48b5-ad88-65a39d2edac5,,2080,,2026-08-08,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-08T07:54:43.495509+00:00
9a9b467b-22b2-4817-aeb0-d1d671f5cffe,39d5e48b-8bf2-4834-be98-b71a8f4ab691,,3300,,2026-08-08,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-08T07:55:42.98852+00:00
53c7f573-0d95-430b-85ec-4a540134ce65,37271187-2b67-4f43-bcf4-63330cf1e2fa,,3250,,2026-08-08,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-08T09:13:33.207104+00:00
9691b5cf-2bcb-4b64-a230-75ab7ddb1f3c,ce9aa13c-f310-4e11-a13f-19b266cbfbb8,,10170,,2026-08-08,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-08T12:43:31.472071+00:00
c18f4caa-81c6-42c8-a765-e493fcfeaefd,56248eb7-9945-48b5-b965-e7130cc62b41,,100,,2026-08-09,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-09T04:47:10.310314+00:00
2bcf5544-e465-44f9-9cda-dbcbf315b3fc,2e526ee5-46dc-4305-b5b0-f4bb45630e2c,,13360,,2026-08-09,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-09T07:58:26.018223+00:00
e33becd0-8100-4d7f-a097-3e11abccc762,5e337d73-747e-4dc9-95de-8654fe281fec,,3160,,2026-08-09,62c5814c-09e6-4583-874d-c3660ce3283f,Asad,2026-08-09T08:35:38.977183+00:00
